"model","n","logloss","brier","tip","mae","calib"
"shots",217,0.522938303263195,0.178414004896313,69.3548387096774,25.6359792626728,1.21178304064009
"ridge",217,0.536086385454462,0.18201871873662,69.815668202765,25.8102176330086,1.40665371343162
"elo",217,0.538491379715961,0.18320028387807,67.0506912442396,28.3067434413338,0.959927985209212
"bayes",217,0.547915589846729,0.185833253138087,69.815668202765,26.0695507782757,1.62092071650764
"bt",217,0.562295634437831,0.192508432578399,67.0506912442396,28.6588221594396,1.10620311580019
"xgb",217,0.612072084469778,0.212824265584949,66.5898617511521,27.9877868234631,0.859684707706797
"rf",217,0.664156345482648,0.224840633082896,67.5115207373272,28.4004957786848,0.466012223975662
