season,team,pts_diff,shot_diff,xmargin,xmargin_shrunk,future_margin
2015,Adelaide,10.9,3.3999999999999986,12.38564916271371,12.144943256289253,16.09090909090909
2015,Brisbane Lions,-38.72727272727273,-9.181818181818183,-33.44787608112528,-33.48144091851306,-29.363636363636363
2015,Carlton,-34.63636363636363,-7.818181818181817,-28.480369732443297,-27.888597486538757,-40.72727272727273
2015,Collingwood,23.727272727272727,5.09090909090909,18.545357035079356,20.124641984885642,-13.181818181818182
2015,Essendon,-10.909090909090908,-3.18181818181818,-11.590848146924593,-12.32553772329399,-39.45454545454545
2015,Fremantle,24.363636363636363,5.272727272727273,19.207691214903623,19.959499144532515,2.272727272727273
2015,Geelong,-1.6,-4.099999999999998,-14.935635755037119,-13.06413147960997,3.272727272727273
2015,Gold Coast,-34.45454545454545,-7.636363636363637,-27.81803555261904,-29.3254468592001,-20.727272727272727
2015,Greater Western Sydney,6.090909090909091,2.90909090909091,10.597346877188208,9.289999936119386,-7.818181818181818
2015,Hawthorn,38.0,9.818181818181817,35.766045710510184,36.690540360668436,44.18181818181818
2015,Melbourne,-24.727272727272727,-4.727272727272727,-17.220688675430832,-18.16382394623102,-18.09090909090909
2015,North Melbourne,-8.818181818181818,-2.0,-7.285675978066891,-7.435017631218258,20.181818181818183
2015,Port Adelaide,-1.7272727272727273,-1.2727272727272734,-4.636339258769842,-2.7265260412234937,13.363636363636363
2015,Richmond,6.2727272727272725,0.8181818181818201,2.9805038092091896,2.553234563483457,26.636363636363637
2015,St Kilda,-20.727272727272727,-5.272727272727273,-19.207691214903623,-18.622224726544772,-21.727272727272727
2015,Sydney,25.09090909090909,4.636363636363637,16.889521585518704,17.226553219372477,13.818181818181818
2015,West Coast,38.18181818181818,9.545454545454547,34.7725444407738,36.353944483666524,30.727272727272727
2015,Western Bulldogs,3.6363636363636362,2.7272727272727266,9.93501269736394,10.341526229361307,21.454545454545453
2016,Adelaide,24.363636363636363,3.90909090909091,14.240184866221654,16.17953034355091,38.18181818181818
2016,Brisbane Lions,-46.72727272727273,-8.09090909090909,-29.473871002179692,-31.956104454143883,-53.45454545454545
2016,Carlton,-12.090909090909092,-3.4545454545454533,-12.584349416660988,-12.434731111514424,-25.181818181818183
2016,Collingwood,-12.454545454545455,-2.0,-7.285675978066891,-7.729786925056914,4.454545454545454
2016,Essendon,-43.72727272727273,-9.636363636363637,-35.10371153068593,-36.65745727660058,-39.81818181818182
2016,Fremantle,-22.181818181818183,-5.363636363636367,-19.538858304815765,-21.138898968350432,-27.363636363636363
2016,Geelong,29.181818181818183,9.636363636363637,35.10371153068593,34.25959041781226,32.72727272727273
2016,Gold Coast,-34.90909090909091,-9.454545454545457,-34.44137735086167,-34.272802251364396,-10.090909090909092
2016,Greater Western Sydney,26.90909090909091,5.545454545454543,20.201192484640007,22.380551965842187,38.27272727272727
2016,Hawthorn,8.090909090909092,3.5454545454545467,12.91551650657313,13.835780970558488,22.272727272727273
2016,Melbourne,4.909090909090909,-1.4545454545454533,-5.298673438594098,-2.1950169158016593,-9.181818181818182
2016,North Melbourne,24.181818181818183,4.181818181818183,15.23368613595805,16.32871289184564,-15.363636363636363
2016,Port Adelaide,10.545454545454545,1.4545454545454533,5.298673438594098,5.959967104355826,0.0
2016,Richmond,-18.454545454545453,-3.0,-10.928513967100336,-11.8758399023598,-21.727272727272727
2016,St Kilda,-17.272727272727273,-4.09090909090909,-14.90251904604591,-14.005441562584139,9.272727272727273
2016,Sydney,32.27272727272727,6.363636363636367,23.18169629384921,24.059856504673846,36.09090909090909
2016,West Coast,25.272727272727273,4.81818181818182,17.55185576534297,18.811108869414156,20.454545454545453
2016,Western Bulldogs,22.09090909090909,7.09090909090909,25.831033013146246,25.54484265679413,0.45454545454545453
2017,Adelaide,33.0,8.454545454545453,30.798539361828215,32.514712536548814,25.09090909090909
2017,Brisbane Lions,-34.81818181818182,-10.72727272727273,-39.077716609631516,-38.01641277798612,-24.181818181818183
2017,Carlton,-17.636363636363637,-4.454545454545457,-16.227187405694448,-15.654371954140629,-22.727272727272727
2017,Collingwood,2.0,2.90909090909091,10.597346877188208,8.127764462029049,-3.727272727272727
2017,Essendon,-3.4545454545454546,-3.454545454545457,-12.584349416661002,-10.887172558004679,15.363636363636363
2017,Fremantle,-17.727272727272727,-4.0909090909090935,-14.902519046045922,-15.47086718114528,-32.54545454545455
2017,Geelong,15.636363636363637,1.5454545454545467,5.6298405285062385,7.834462561604852,13.090909090909092
