season,team,pts_diff,shot_diff,future_margin
2015,Adelaide,10.9,3.4,16.09090909090909
2015,Brisbane Lions,-38.72727272727273,-9.181818181818182,-29.363636363636363
2015,Carlton,-34.63636363636363,-7.818181818181818,-40.72727272727273
2015,Collingwood,23.727272727272727,5.090909090909091,-13.181818181818182
2015,Essendon,-10.909090909090908,-3.1818181818181817,-39.45454545454545
2015,Fremantle,24.363636363636363,5.2727272727272725,2.272727272727273
2015,Geelong,-1.6,-4.1,3.272727272727273
2015,Gold Coast,-34.45454545454545,-7.636363636363637,-20.727272727272727
2015,Greater Western Sydney,6.090909090909091,2.909090909090909,-7.818181818181818
2015,Hawthorn,38.0,9.818181818181818,44.18181818181818
2015,Melbourne,-24.727272727272727,-4.7272727272727275,-18.09090909090909
2015,North Melbourne,-8.818181818181818,-2.0,20.181818181818183
2015,Port Adelaide,-1.7272727272727273,-1.2727272727272727,13.363636363636363
2015,Richmond,6.2727272727272725,0.8181818181818182,26.636363636363637
2015,St Kilda,-20.727272727272727,-5.2727272727272725,-21.727272727272727
2015,Sydney,25.09090909090909,4.636363636363637,13.818181818181818
2015,West Coast,38.18181818181818,9.545454545454545,30.727272727272727
2015,Western Bulldogs,3.6363636363636362,2.727272727272727,21.454545454545453
2016,Adelaide,24.363636363636363,3.909090909090909,38.18181818181818
2016,Brisbane Lions,-46.72727272727273,-8.090909090909092,-53.45454545454545
2016,Carlton,-12.090909090909092,-3.4545454545454546,-25.181818181818183
2016,Collingwood,-12.454545454545455,-2.0,4.454545454545454
2016,Essendon,-43.72727272727273,-9.636363636363637,-39.81818181818182
2016,Fremantle,-22.181818181818183,-5.363636363636363,-27.363636363636363
2016,Geelong,29.181818181818183,9.636363636363637,32.72727272727273
2016,Gold Coast,-34.90909090909091,-9.454545454545455,-10.090909090909092
2016,Greater Western Sydney,26.90909090909091,5.545454545454546,38.27272727272727
2016,Hawthorn,8.090909090909092,3.5454545454545454,22.272727272727273
2016,Melbourne,4.909090909090909,-1.4545454545454546,-9.181818181818182
2016,North Melbourne,24.181818181818183,4.181818181818182,-15.363636363636363
2016,Port Adelaide,10.545454545454545,1.4545454545454546,0.0
2016,Richmond,-18.454545454545453,-3.0,-21.727272727272727
2016,St Kilda,-17.272727272727273,-4.090909090909091,9.272727272727273
2016,Sydney,32.27272727272727,6.363636363636363,36.09090909090909
2016,West Coast,25.272727272727273,4.818181818181818,20.454545454545453
2016,Western Bulldogs,22.09090909090909,7.090909090909091,0.45454545454545453
2017,Adelaide,33.0,8.454545454545455,25.09090909090909
2017,Brisbane Lions,-34.81818181818182,-10.727272727272727,-24.181818181818183
2017,Carlton,-17.636363636363637,-4.454545454545454,-22.727272727272727
2017,Collingwood,2.0,2.909090909090909,-3.727272727272727
2017,Essendon,-3.4545454545454546,-3.4545454545454546,15.363636363636363
2017,Fremantle,-17.727272727272727,-4.090909090909091,-32.54545454545455
2017,Geelong,15.636363636363637,1.5454545454545454,13.090909090909092
2017,Gold Coast,-12.272727272727273,-1.8181818181818181,-38.18181818181818
2017,Greater Western Sydney,15.454545454545455,3.6363636363636362,9.0
2017,Hawthorn,-24.363636363636363,-6.181818181818182,7.0
2017,Melbourne,9.909090909090908,1.7272727272727273,-0.7272727272727273
2017,North Melbourne,-6.181818181818182,-1.6363636363636365,-19.363636363636363
2017,Port Adelaide,25.727272727272727,7.090909090909091,19.454545454545453
2017,Richmond,9.272727272727273,2.909090909090909,18.727272727272727
2017,St Kilda,-6.545454545454546,1.1818181818181819,1.0
2017,Sydney,4.2727272727272725,1.0909090909090908,35.90909090909091
2017,West Coast,1.2727272727272727,-1.0,8.363636363636363
2017,Western Bulldogs,2.0,2.4545454545454546,-7.090909090909091
2018,Adelaide,5.7272727272727275,0.2727272727272727,1.1818181818181819
2018,Brisbane Lions,-20.454545454545453,-4.545454545454546,0.09090909090909091
2018,Carlton,-37.27272727272727,-8.636363636363637,-47.18181818181818
2018,Collingwood,12.545454545454545,3.4545454545454546,19.0
2018,Essendon,-11.454545454545455,-3.272727272727273,20.0
2018,Fremantle,-16.90909090909091,-4.181818181818182,-27.181818181818183
2018,Geelong,19.272727272727273,2.0,25.363636363636363
2018,Gold Coast,-37.45454545454545,-11.090909090909092,-42.0
2018,Greater Western Sydney,-0.09090909090909091,2.1818181818181817,21.636363636363637
2018,Hawthorn,3.909090909090909,0.2727272727272727,26.09090909090909
2018,Melbourne,30.90909090909091,6.818181818181818,19.09090909090909
2018,North Melbourne,17.90909090909091,2.909090909090909,-3.3636363636363638
2018,Port Adelaide,6.2727272727272725,3.090909090909091,5.181818181818182
2018,Richmond,29.454545454545453,9.909090909090908,22.272727272727273
2018,St Kilda,-26.90909090909091,-5.545454545454546,-20.272727272727273
2018,Sydney,13.545454545454545,1.2727272727272727,0.8181818181818182
2018,West Coast,25.181818181818183,5.636363636363637,7.090909090909091
2018,Western Bulldogs,-22.727272727272727,-2.727272727272727,-19.272727272727273
2019,Adelaide,7.818181818181818,0.5454545454545454,-6.454545454545454
2019,Brisbane Lions,4.181818181818182,2.3636363636363638,24.0
2019,Carlton,-23.181818181818183,-6.363636363636363,-3.727272727272727
2019,Collingwood,17.90909090909091,4.7272727272727275,7.909090909090909
2019,Essendon,2.1818181818181817,-0.09090909090909091,-9.636363636363637
2019,Fremantle,6.363636363636363,0.45454545454545453,-19.0
2019,Geelong,30.636363636363637,3.8181818181818183,16.818181818181817
2019,Gold Coast,-25.90909090909091,-5.909090909090909,-54.18181818181818
2019,Greater Western Sydney,27.545454545454547,7.090909090909091,-4.181818181818182
2019,Hawthorn,0.9090909090909091,-0.9090909090909091,11.818181818181818
2019,Melbourne,-20.272727272727273,-2.090909090909091,-18.454545454545453
2019,North Melbourne,-8.090909090909092,-2.1818181818181817,7.181818181818182
2019,Port Adelaide,8.545454545454545,3.5454545454545454,-0.18181818181818182
2019,Richmond,1.0909090909090908,1.0909090909090908,19.636363636363637
2019,St Kilda,-12.454545454545455,-0.18181818181818182,-16.272727272727273
2019,Sydney,-13.636363636363637,-4.545454545454546,10.0
2019,West Coast,6.636363636363637,-2.0,12.545454545454545
2019,Western Bulldogs,-10.272727272727273,0.6363636363636364,22.181818181818183
2020,Adelaide,-30.875,-7.75,-23.333333333333332
2020,Brisbane Lions,10.625,5.625,16.77777777777778
2020,Carlton,2.0,1.375,-8.555555555555555
2020,Collingwood,8.375,4.0,1.8888888888888888
2020,Essendon,-7.75,-2.125,-20.555555555555557
2020,Fremantle,-12.0,-4.5,4.222222222222222
2020,Geelong,13.0,3.625,25.333333333333332
2020,Gold Coast,4.5,0.125,-15.444444444444445
2020,Greater Western Sydney,-0.125,-1.375,-5.0
2020,Hawthorn,-14.125,-2.25,-8.555555555555555
2020,Melbourne,-6.375,-2.0,14.222222222222221
2020,North Melbourne,-14.625,-4.625,-25.555555555555557
2020,Port Adelaide,19.125,6.625,18.11111111111111
2020,Richmond,5.375,2.875,24.22222222222222
2020,St Kilda,10.375,0.375,8.777777777777779
2020,Sydney,-10.875,-3.375,-11.11111111111111
2020,West Coast,8.5,1.0,10.11111111111111
2020,Western Bulldogs,0.625,0.0,7.111111111111111
